PRECINCTID,Total Population,White,Black,Hispanic,Asian,Other,Warnock,Loeffler,Abstain
0011B,1433,0.884159107,0.050244243,0.032100488,0.00209351,0.031402652,0.067690161,0.532449407,0.399860433
0011C,1192,0.831375839,0.098154362,0.054530201,0.003355705,0.012583893,0.034395973,0.447147651,0.518456376
12,2639,0.3618795,0.515346722,0.100037893,0.003031451,0.019704434,0.309965896,0.160666919,0.529367185
0013A1,865,0.944508671,0.019653179,0.013872832,0.002312139,0.019653179,0.024277457,0.598843931,0.376878613
0013C,1920,0.649479167,0.238020833,0.075,0.0140625,0.0234375,0.133854167,0.391666667,0.474479167
0014B,990,0.913131313,0.031313131,0.032323232,0.005050505,0.018181818,0.022222222,0.623232323,0.354545455
0014D,1880,0.795744681,0.052659574,0.120744681,0.022340426,0.008510639,0.061170213,0.482978723,0.455851064
0015A,1624,0.737068966,0.086206897,0.150246305,0.007389163,0.01908867,0.0658867,0.348522167,0.585591133
0015B,1415,0.829681979,0.093286219,0.059363958,0.001413428,0.016254417,0.083392226,0.430388693,0.486219081
30001,2289,0.721712538,0.055919616,0.198339886,0.000436872,0.023591088,0.05679336,0.385321101,0.55788554
30002,973,0.818088386,0.014388489,0.136690647,0.003083248,0.027749229,0.031860226,0.438848921,0.529290853
30003,1551,0.590586718,0.224371373,0.160541586,0,0.024500322,0.174081238,0.291424887,0.534493875
30004,1316,0.321428571,0.316109422,0.338905775,0.006079027,0.017477204,0.22112462,0.125379939,0.653495441
005DOUGL,8310,0.767027677,0.139350181,0.065824308,0.003971119,0.023826715,0.067268351,0.429843562,0.502888087
007A,186,0.688172043,0.198924731,0.048387097,0,0.064516129,0.155913978,0.47311828,0.370967742
007E,388,0.425257732,0.494845361,0.054123711,0.015463918,0.010309278,0.337628866,0.335051546,0.327319588
007H,327,0.449541284,0.504587156,0.03058104,0,0.01529052,0.321100917,0.321100917,0.357798165
007M,286,0.674825175,0.297202797,0.006993007,0.013986014,0.006993007,0.223776224,0.444055944,0.332167832
007N,1088,0.553308824,0.391544118,0.032169118,0.007352941,0.015625,0.272058824,0.335477941,0.392463235
91714,1354,0.67282127,0.276218612,0.022156573,0.005908419,0.022895126,0.197932053,0.265878877,0.536189069
9318,3929,0.708577246,0.207686434,0.026978875,0.034359888,0.022397557,0.193687961,0.442606261,0.363705778
9319,2208,0.538496377,0.423007246,0.014039855,0.00634058,0.018115942,0.269474638,0.30298913,0.427536232
009321E,1545,0.219417476,0.71197411,0.029773463,0.00776699,0.031067961,0.266019417,0.058899676,0.675080906
009321W,3420,0.287134503,0.673684211,0.015497076,0.002046784,0.021637427,0.403216374,0.095906433,0.500877193
9322,1682,0.756837099,0.219976219,0.005945303,0.002972652,0.014268728,0.18608799,0.414982164,0.398929845
